cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
7923,POINT (-74.03758054503407 40.12938049507598),0,0,4,-74.03758054503407,40.12938049507598,154.03630656652447
7924,POINT (-74.03936659001701 40.129651335110196),0,0,4,-74.03936659001701,40.129651335110196,154.03630656652447
7925,POINT (-74.291092 40.63306900000001),0,0,22,-74.291092,40.63306900000001,102.23577179222387
7926,POINT (-74.927662 38.945817999999996),0,0,161,-74.927662,38.945817999999996,359.1235439238933
7927,POINT (-74.92548 38.952968),0,0,161,-74.92548,38.952968,816.1828832922138
7928,POINT (-74.921841 38.967718999999995),0,0,161,-74.921841,38.967718999999995,503.569500298345
7929,POINT (-74.098912 40.69554999999999),0,0,488,-74.098912,40.69554999999999,115.86141375174084
7930,POINT (-74.100683 40.697678999999994),0,0,249,-74.100683,40.697678999999994,155.20886859480584
7931,POINT (-74.078021 40.771438999999994),0,0,306,-74.078021,40.771438999999994,126.82162682695795
7932,POINT (-74.078991 40.774648),0,0,306,-74.078991,40.774648,134.82412945939058
7933,POINT (-74.0803224988703 40.77845400026544),0,0,484,-74.0803224988703,40.77845400026544,157.66138427009355
7934,POINT (-74.078503 40.77251900000002),0,0,306,-74.078503,40.77251900000002,126.82162682695795
7935,POINT (-74.079352 40.775828999999995),0,0,306,-74.079352,40.775828999999995,134.82412945939058
7936,POINT (-74.076012 40.76859700000001),0,0,149,-74.076012,40.76859700000001,122.75228685673589
7937,POINT (-74.076902 40.769468999999994),0,0,157,-74.076902,40.769468999999994,122.75228685673589
7938,POINT (-74.044052 40.231088),0,0,125,-74.044052,40.231088,405.65602518174927
7939,POINT (-74.074652 40.761497),0,0,339,-74.074652,40.761497,320.69803217544313
7940,POINT (-74.054552 40.76514699999999),0,0,10,-74.054552,40.76514699999999,389.344725020452
7941,POINT (-74.057773 40.770209),0,0,5,-74.057773,40.770209,236.19968282339642
7942,POINT (-74.056473 40.768328999999994),0,0,10,-74.056473,40.768328999999994,236.19968282339642
7943,POINT (-74.063641 40.776319),0,0,52,-74.063641,40.776319,140.58042457982813
7944,POINT (-74.071782 40.779347),0,0,78,-74.071782,40.779347,149.33480081888106
7945,POINT (-74.066443 40.777728),0,0,52,-74.066443,40.777728,276.6526222732937
7946,POINT (-74.074812 40.780378),0,0,268,-74.074812,40.780378,279.3881215798815
7947,POINT (-74.634462 40.367838),0,0,1,-74.634462,40.367838,267.1396994608076
7948,POINT (-74.001852 40.83309800000001),0,0,143,-74.001852,40.83309800000001,145.45825249037063
7949,POINT (-74.004103 40.83058799999999),0,0,76,-74.004103,40.83058799999999,192.6097995740332
7950,POINT (-74.002762 40.83198800000001),0,0,143,-74.002762,40.83198800000001,145.45825249037063
7951,POINT (-74.005893 40.827549),0,0,76,-74.005893,40.827549,100.39222641418858
7952,POINT (-74.006573 40.826809),0,0,67,-74.006573,40.826809,100.39222641418858
7953,POINT (-73.998181 40.837238),0,0,143,-73.998181,40.837238,161.9874551632536
7954,POINT (-74.005261 40.829048),0,0,143,-74.005261,40.829048,175.04287234068252
7955,POINT (-73.99981 40.835718),0,0,143,-73.99981,40.835718,218.0597078122767
7956,POINT (-74.11200299962806 40.89120800002898),0,0,56,-74.11200299962806,40.89120800002898,227.60197489656548
7957,POINT (-74.111103 40.889278999999995),0,0,56,-74.111103,40.889278999999995,172.77600057133276
7958,POINT (-75.470162 39.708288),0,0,76,-75.470162,39.708288,604.2669062891833
7959,POINT (-87.821412676816 42.580684122392),0,0,14,-87.821412676816,42.580684122392,292.4105380860135
7960,POINT (-74.455683 39.373059),0,0,243,-74.455683,39.373059,113.21959655281132
7961,POINT (-87.82321 42.59901000000001),0,0,34,-87.82321,42.59901000000001,1381.357009739456
7962,POINT (-75.04916550025153 39.447038500540295),0,0,212,-75.04916550025153,39.447038500540295,612.4811136971379
7963,POINT (-75.14409 40.6799),32,32,32,-75.14409,40.6799,458.53050338136865
7964,POINT (-74.835679 40.822902),8,8,8,-74.835679,40.822902,510.46889528631687
7965,POINT (-74.97619750125628 40.73871100029465),16,16,16,-74.97619750125628,40.73871100029465,2217.1941217577482
7966,POINT (-74.559223 39.358868),0,0,177,-74.559223,39.358868,229.2878316259506
7967,POINT (-73.995313 40.405139000000005),0,0,26,-73.995313,40.405139000000005,109.20543596051809
7968,POINT (-74.59228800121488 39.31849800031682),0,0,177,-74.59228800121488,39.31849800031682,224.5446376342035
7969,POINT (-74.486601 39.434797999999994),0,0,127,-74.486601,39.434797999999994,105.75971266626263
7970,POINT (-74.574052 39.34132999999999),0,0,177,-74.574052,39.34132999999999,163.79509687335926
7971,POINT (-74.57249099997502 39.34315500000238),0,0,177,-74.57249099997502,39.34315500000238,147.8326256567126
7972,POINT (-74.539407000541 39.37514350030673),0,0,177,-74.539407000541,39.37514350030673,187.4710356113259
7973,POINT (-74.56114 39.35741000000001),0,0,177,-74.56114,39.35741000000001,229.2878316259506
7974,POINT (-74.498303 39.425448),0,0,67,-74.498303,39.425448,243.57936624170455
7975,POINT (-74.49111 39.43172899999999),0,0,134,-74.49111,39.43172899999999,137.9089361980466
7976,POINT (-74.555753 39.361709),0,0,90,-74.555753,39.361709,166.13611321729854
7977,POINT (-74.5875470000077 39.32448300000082),0,0,177,-74.5875470000077,39.32448300000082,277.19170265902756
7978,POINT (-74.562521 39.355478000000005),0,0,177,-74.562521,39.355478000000005,192.40910838061887
7979,POINT (-74.571533 39.34426700000001),0,0,177,-74.571533,39.34426700000001,147.8326256567126
7980,POINT (-74.537871 39.376359),0,0,177,-74.537871,39.376359,187.4710356113259
7981,POINT (-74.580982 39.332708999999994),0,0,177,-74.580982,39.332708999999994,216.2115548761952
7982,POINT (-74.570341 39.345938999999994),0,0,177,-74.570341,39.345938999999994,198.836651975653
7983,POINT (-74.547763 39.368269000000005),0,0,177,-74.547763,39.368269000000005,299.3458815834755
7984,POINT (-74.579653 39.33436999999999),0,0,177,-74.579653,39.33436999999999,173.90120491813147
7985,POINT (-74.59101 39.32026799999999),0,0,177,-74.59101,39.32026799999999,224.5446376342035
